IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques
IpAddress,8.18.145.131,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.145.36,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.145.33,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.145.21,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.145.3,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.188,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.180,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.170,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.165,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.158,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.156,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.149,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.136,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.135,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.130,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.62,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.44,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.40,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.20,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.9,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.12,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.11,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,12.227.230.4,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,65.153.203.68,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.44,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
