IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups
DomainName,1xbet40.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet28.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet10.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet36.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet42.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet13.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet25.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet26.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet45.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet31.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet7.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet29.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet35.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,eatsleepbet.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet37.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet23.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,betworld.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet12.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet3.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet20.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1-x-bet.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet24.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet38.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet34.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet14.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet27.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet30.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet18.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet2.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet19.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet41.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,webmoneycasino.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet39.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
